Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
married,Over 23 years old,1,Equinculture,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120.0,no,no,no,yes,male,no,53,no,0,5,9,4,12.25,2,0,5,8,4,11.75,0,9.4,-0.8,-3.12,Not Dropout
married,Over 23 years old,1,Journalism and Communication,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Administrative staff,131.0,no,no,yes,no,male,no,42,no,0,4,5,0,0.0,0,0,4,4,0,0.0,0,13.9,-0.3,0.79,Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,133.8,yes,no,no,yes,male,no,52,no,0,5,5,5,13.6,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Not Dropout
married,Over 23 years old,1,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Armed Forces Professions,150.0,no,no,no,yes,male,no,49,no,0,5,6,5,12.2,0,0,5,9,5,11.8,0,15.5,2.8,-4.06,Not Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,125.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",126.4,no,no,no,yes,male,yes,18,no,0,6,7,6,12.285714285714286,0,0,6,7,6,13.333333333333334,1,16.2,0.3,-0.92,Not Dropout
married,Over 23 years old,1,Equinculture,daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",154.0,yes,no,no,yes,male,no,37,no,1,5,12,3,12.0,2,1,5,8,4,13.0,1,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,114.9,no,no,no,yes,male,yes,21,no,0,7,9,6,13.342857142857143,0,0,8,10,7,11.65,0,12.4,0.5,1.79,Not Dropout
single,Over 23 years old,1,Advertising and Marketing Management,daytime,12th year of schooling - not completed,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Intermediate Level Technicians and Professions,110.0,no,no,yes,yes,male,no,26,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Communication Design,daytime,Secondary education,147.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,149.8,yes,no,no,yes,male,no,20,no,5,12,12,11,14.272727272727272,0,5,12,12,11,14.818181818181818,0,16.2,0.3,-0.92,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,128.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Intermediate Level Technicians and Professions,117.9,yes,no,no,yes,female,yes,19,no,0,7,9,7,12.1375,0,0,8,9,8,12.91111111111111,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,2,Communication Design,daytime,Secondary education,164.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",165.8,yes,no,no,yes,female,no,18,no,0,6,7,6,14.166666666666666,0,0,6,7,6,14.857142857142858,0,9.4,-0.8,-3.12,Not Dropout
single,2nd phase - general contingent,5,Nursing,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,127.6,yes,no,no,yes,female,no,18,no,0,7,7,7,13.528571428571428,0,0,8,9,8,14.655555555555557,0,12.4,0.5,1.79,Not Dropout
single,2nd phase - general contingent,2,Social Service (evening attendance),evening,Secondary education,122.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,123.8,no,no,no,yes,female,no,20,no,0,6,8,5,12.0,0,0,6,8,6,11.0,0,10.8,1.4,1.74,Not Dropout
single,2nd phase - general contingent,4,Tourism,daytime,Secondary education,124.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,126.1,yes,no,no,yes,female,no,20,no,0,5,5,5,11.4,0,0,6,11,1,11.0,0,10.8,1.4,1.74,Dropout
single,1st phase - general contingent,2,Animation and Multimedia Design,daytime,Secondary education,120.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",119.7,yes,no,no,yes,female,no,21,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,8.9,1.4,3.51,Dropout
single,1st phase - general contingent,2,Animation and Multimedia Design,daytime,Secondary education,117.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,121.6,yes,no,no,yes,female,no,22,no,6,12,12,12,12.916666666666666,0,4,11,16,11,14.5,0,8.9,1.4,3.51,Not Dropout
single,Change of course,1,Nursing,daytime,Secondary education,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",100.0,no,no,no,yes,female,yes,18,no,0,7,8,7,13.6375,0,0,8,8,8,14.3875,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,5,Nursing,daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",127.6,yes,no,no,yes,female,no,18,no,0,7,10,7,12.9,0,0,8,15,7,12.142857142857142,0,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,138.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,132.5,yes,no,no,yes,female,yes,19,no,0,8,8,7,14.36,0,0,8,8,7,14.36,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,142.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",131.0,yes,no,no,yes,female,no,18,no,0,8,8,7,14.7,0,0,8,8,7,14.7,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,3,Oral Hygiene,daytime,Secondary education,122.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,113.3,yes,no,no,yes,female,yes,20,no,0,7,7,7,13.0,0,0,8,8,8,15.0625,0,12.4,0.5,1.79,Not Dropout
single,1st phase - general contingent,2,Basic Education,daytime,Secondary education,131.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,121.9,yes,no,no,yes,female,no,20,no,0,6,6,6,13.5,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,2,Veterinary Nursing,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,118.3,yes,no,no,yes,female,no,20,no,0,5,11,5,12.333333333333334,2,0,5,7,5,12.6,0,9.4,-0.8,-3.12,Not Dropout
single,1st phase - general contingent,1,Management,daytime,Secondary education,131.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Administrative staff,118.8,no,no,no,yes,female,no,19,no,0,5,6,5,13.4,0,0,5,6,5,13.0,0,16.2,0.3,-0.92,Not Dropout
single,Change of course,3,Animation and Multimedia Design,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,143.3,yes,no,no,yes,female,yes,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Not Dropout
single,Short cycle diploma holders,1,Veterinary Nursing,daytime,Professional higher technical course,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",155.7,yes,no,no,yes,female,no,27,no,7,12,17,11,14.727272727272728,0,4,9,10,7,14.142857142857142,0,8.9,1.4,3.51,Not Dropout
single,1st phase - general contingent,2,Veterinary Nursing,daytime,Secondary education,157.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,153.9,yes,no,no,yes,female,no,18,no,0,6,7,6,16.571428571428573,0,0,6,6,6,15.666666666666666,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,137.8,no,no,no,yes,female,no,18,no,0,7,10,7,15.145,0,0,8,8,8,15.7425,0,15.5,2.8,-4.06,Not Dropout
single,2nd phase - general contingent,1,Nursing,daytime,Secondary education,148.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",143.3,no,no,no,yes,female,yes,18,no,0,7,7,7,13.44285714285714,0,0,8,8,8,15.075,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,120.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",123.2,no,no,no,yes,female,no,20,no,0,5,8,5,14.166666666666666,2,0,5,6,4,11.75,2,9.4,-0.8,-3.12,Not Dropout
single,2nd phase - general contingent,1,Social Service,daytime,Secondary education,158.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.5,no,no,no,yes,female,yes,20,no,0,6,9,6,11.333333333333334,0,0,6,6,6,12.333333333333334,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,145.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Personal Services, Security and Safety Workers and Sellers",130.0,yes,no,no,yes,female,no,18,no,0,8,8,8,13.76125,0,0,8,8,8,13.76125,0,9.4,-0.8,-3.12,Not Dropout
single,Technological specialization diploma holders,1,Communication Design,daytime,Technological specialization course,100.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",104.8,no,no,yes,no,female,no,22,no,2,7,9,5,11.6,0,5,9,9,5,10.0,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,1,Social Service (evening attendance),evening,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,132.5,no,no,yes,yes,female,yes,22,no,1,6,7,4,12.75,0,1,6,8,5,13.0,0,13.9,-0.3,0.79,Not Dropout
single,1st phase - general contingent,1,Veterinary Nursing,daytime,Secondary education,148.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,136.5,no,no,no,yes,female,no,19,no,0,6,13,6,15.307692307692308,0,0,6,9,6,14.0,0,15.5,2.8,-4.06,Not Dropout
single,Technological specialization diploma holders,1,Equinculture,daytime,Technological specialization course,130.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",130.0,yes,no,no,no,female,no,21,no,1,6,12,5,13.285714285714286,0,0,6,10,4,12.0,0,16.2,0.3,-0.92,Dropout
single,Over 23 years old,1,Nursing,daytime,Higher education - degree (1st cycle),130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,190.0,yes,no,no,yes,female,no,27,no,1,7,7,7,14.757142857142856,0,1,8,9,8,14.077777777777778,0,16.2,0.3,-0.92,Not Dropout
single,2nd phase - general contingent,4,Nursing,daytime,Secondary education,136.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Unskilled Workers,128.5,yes,no,no,yes,female,no,18,no,0,7,7,6,12.766666666666666,0,0,7,7,6,12.766666666666666,0,7.6,2.6,0.32,Not Dropout
single,2nd phase - general contingent,3,Tourism,daytime,Secondary education,122.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,126.6,no,no,no,no,female,no,18,no,0,5,5,5,10.4,0,0,6,13,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,Oral Hygiene,daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Skilled Workers in Industry, Construction and Craftsmen",131.6,yes,no,no,yes,male,no,19,no,0,7,0,0,0.0,0,0,7,0,0,0.0,0,11.1,0.6,2.02,Dropout
facto union,Over 23 years old,1,Management (evening attendance),evening,Secondary education,110.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,119.0,no,no,no,yes,male,yes,35,no,0,5,10,4,10.5,0,0,5,6,5,12.6,0,8.9,1.4,3.51,Not Dropout
single,Over 23 years old,1,Nursing,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,100.0,no,no,no,yes,male,no,28,no,0,7,11,3,11.916666666666666,1,0,7,17,0,0.0,0,16.2,0.3,-0.92,Dropout
single,1st phase - general contingent,2,Advertising and Marketing Management,daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,117.7,yes,no,yes,yes,male,no,20,no,0,5,5,4,12.0,0,0,5,6,5,11.6,0,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,124.0,Portuguese,Higher Education - Bachelor's Degree,Higher Education - Bachelor's Degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,124.7,yes,no,no,yes,male,no,21,no,0,5,7,3,11.0,0,0,5,5,4,12.75,0,7.6,2.6,0.32,Dropout
single,2nd phase - general contingent,3,Communication Design,daytime,Secondary education,128.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",124.5,yes,no,no,yes,male,no,18,no,0,6,6,6,14.166666666666666,0,0,6,8,5,13.0,0,10.8,1.4,1.74,Not Dropout
single,1st phase - general contingent,5,Communication Design,daytime,Secondary education,125.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,140.8,yes,no,no,yes,male,no,22,no,0,6,6,6,14.666666666666666,0,0,6,6,6,15.0,0,9.4,-0.8,-3.12,Not Dropout
single,2nd phase - general contingent,3,Veterinary Nursing,daytime,Secondary education,121.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,111.9,yes,no,no,yes,male,no,21,no,0,5,11,0,0.0,0,0,5,10,5,12.285714285714286,1,10.8,1.4,1.74,Not Dropout
single,Holders of other higher courses,1,Oral Hygiene,daytime,Higher education - degree,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,140.0,no,no,yes,no,male,no,38,no,0,7,8,3,12.666666666666666,0,0,5,5,0,0.0,0,13.9,-0.3,0.79,Dropout
single,Change of course,4,Animation and Multimedia Design,daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,123.8,yes,no,no,yes,male,no,19,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,Holders of other higher courses,1,Informatics Engineering,daytime,Secondary education,140.8,Portuguese,Unknown,Unknown,Student,Student,134.0,no,no,no,yes,male,no,24,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,3rd phase - general contingent,3,Communication Design,daytime,Secondary education,142.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130.8,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,133.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,130.2,yes,no,no,yes,male,yes,19,no,0,7,7,7,13.7,0,0,8,9,8,14.022222222222222,0,16.2,0.3,-0.92,Not Dropout
single,Over 23 years old,1,Informatics Engineering,daytime,Higher education - degree,130.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Intermediate Level Technicians and Professions,Armed Forces Professions,147.6,no,no,no,yes,male,no,31,no,0,5,0,0,0.0,0,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
single,2nd phase - general contingent,1,Advertising and Marketing Management,daytime,Secondary education,120.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,113.4,yes,no,no,yes,male,yes,19,no,0,6,6,6,13.333333333333334,0,0,6,7,6,13.285714285714286,0,8.9,1.4,3.51,Not Dropout
single,2nd phase - general contingent,1,Communication Design,daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",133.7,yes,no,no,yes,male,no,22,no,0,6,7,5,11.4,0,0,6,6,6,12.166666666666666,0,7.6,2.6,0.32,Not Dropout
single,Over 23 years old,1,Veterinary Nursing,daytime,Secondary education,130.0,Portuguese,Unknown,Secondary Education - 12th Year of Schooling or Eq.,Student,Specialists in Intellectual and Scientific Activities,128.2,no,no,no,yes,male,no,25,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,168.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",161.0,yes,no,no,yes,male,no,18,no,0,7,7,7,16.142857142857142,0,0,8,9,0,0.0,0,16.2,0.3,-0.92,Dropout
single,Holders of other higher courses,1,Nursing,daytime,Higher education - degree,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Other Situation,Other Situation,130.0,yes,no,no,yes,male,no,30,no,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Dropout
single,1st phase - general contingent,1,Nursing,daytime,Secondary education,156.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,156.3,no,no,no,yes,male,yes,18,no,0,8,8,8,15.63375,0,0,8,8,8,15.63375,0,9.4,-0.8,-3.12,Not Dropout
single,1st phase - general contingent,1,Journalism and Communication,daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",129.3,yes,no,no,yes,male,no,18,no,0,6,6,6,13.666666666666666,0,0,6,6,6,14.5,0,12.7,3.7,-1.7,Not Dropout
single,2nd phase - general contingent,6,Journalism and Communication,daytime,Secondary education,131.0,Portuguese,Unknown,Unknown,Student,Student,129.3,no,no,no,yes,male,no,18,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
single,1st phase - general contingent,1,Social Service,daytime,Secondary education,130.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",136.3,yes,no,no,yes,male,no,18,no,0,6,8,6,12.5,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Not Dropout
single,Over 23 years old,1,Advertising and Marketing Management,daytime,Secondary education,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,140.0,no,no,no,yes,male,yes,25,no,0,6,8,6,12.285714285714286,0,0,6,6,6,13.0,0,15.5,2.8,-4.06,Not Dropout
single,1st phase - general contingent,5,Animation and Multimedia Design,daytime,Secondary education,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,139.7,no,no,no,yes,male,no,18,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.7,3.7,-1.7,Dropout
single,Over 23 years old,1,Oral Hygiene,daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,105.0,no,no,no,yes,male,no,25,no,0,7,14,4,12.95,1,0,7,11,4,13.125,1,15.5,2.8,-4.06,Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",130.5,yes,no,no,yes,female,no,19,no,0,7,7,6,12.45,0,0,7,7,6,12.45,0,7.6,2.6,0.32,Not Dropout
single,1st phase - general contingent,3,Nursing,daytime,Secondary education,137.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,131.5,yes,no,no,yes,female,yes,20,no,0,8,8,8,13.38125,0,0,8,8,8,13.38125,0,9.4,-0.8,-3.12,Not Dropout
single,Transfer,1,Nursing,daytime,Secondary education,133.1,Brazilian,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Armed Forces Professions,100.0,yes,no,no,no,female,no,33,yes,1,7,10,5,12.16,0,0,6,7,5,11.34,0,12.4,0.5,1.79,Dropout
single,2nd phase - general contingent,4,Social Service,daytime,Secondary education,140.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130.2,yes,no,no,yes,female,yes,18,no,0,6,8,6,12.75,0,0,6,10,6,12.166666666666666,0,12.7,3.7,-1.7,Not Dropout
single,2nd phase - general contingent,2,Nursing,daytime,Secondary education,135.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Armed Forces Professions,133.5,yes,no,no,yes,female,no,19,no,0,8,8,8,13.3425,0,0,8,8,8,13.3425,0,9.4,-0.8,-3.12,Not Dropout
single,1st phase - general contingent,4,Nursing,daytime,Secondary education,140.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",133.2,yes,no,no,yes,female,yes,20,no,0,7,10,7,14.175,0,0,8,14,6,13.03125,0,15.5,2.8,-4.06,Not Dropout
